job_no,month_key,revenue_monthly,rev_alloc,actual_cost,actual_hours,billable_value,unallocated_revenue_amt,unquoted_hours,dept_mismatch_hours,gp,margin,rev_per_hour,cost_per_hour,unquoted_share,dept_mismatch_share
CONVERSIONASSIST COMMISSION,2025-11-01,1589.61,1589.61,0.0,0.0,0.0,1589.61,0.0,0.0,1589.61,1.0,0.0,0.0,0.0,0.0
CONVERSIONASSIST COMMISSION,2025-12-01,443.1,443.1,0.0,0.0,0.0,443.1,0.0,0.0,443.1,1.0,0.0,0.0,0.0,0.0
DSA LAWYERS1,2023-11-01,1140.0,1140.0,0.0,0.0,0.0,1140.0,0.0,0.0,1140.0,1.0,0.0,0.0,0.0,0.0
HS JGK,2025-01-01,-4875.0,-4875.0,0.0,0.0,0.0,-4875.0,0.0,0.0,-4875.0,0.0,0.0,0.0,0.0,0.0
HS JGK,2025-02-01,-6750.0,-6750.0,0.0,0.0,0.0,-6750.0,0.0,0.0,-6750.0,0.0,0.0,0.0,0.0,0.0
HS JGK,2025-03-01,-2375.0,-2375.0,0.0,0.0,0.0,-2375.0,0.0,0.0,-2375.0,0.0,0.0,0.0,0.0,0.0
HUBSPOT COMMISSION,2024-02-01,5155.88,5155.88,0.0,0.0,0.0,5155.88,0.0,0.0,5155.88,1.0,0.0,0.0,0.0,0.0
HUBSPOT COMMISSION,2024-05-01,4941.13,4941.13,0.0,0.0,0.0,4941.13,0.0,0.0,4941.13,1.0,0.0,0.0,0.0,0.0
HUBSPOT COMMISSION,2024-08-01,7030.73,7030.73,0.0,0.0,0.0,7030.73,0.0,0.0,7030.73,1.0,0.0,0.0,0.0,0.0
HUBSPOT COMMISSION,2024-11-01,21444.43,21444.43,0.0,0.0,0.0,21444.43,0.0,0.0,21444.43,1.0,0.0,0.0,0.0,0.0
HUBSPOT COMMISSION,2025-02-01,27655.29,27655.29,0.0,0.0,0.0,27655.29,0.0,0.0,27655.29,1.0,0.0,0.0,0.0,0.0
HUBSPOT COMMISSION,2025-05-01,32664.64,32664.64,0.0,0.0,0.0,32664.64,0.0,0.0,32664.64,1.0,0.0,0.0,0.0,0.0
HUBSPOT COMMISSION,2025-08-01,33780.17,33780.17,0.0,0.0,0.0,33780.17,0.0,0.0,33780.17,1.0,0.0,0.0,0.0,0.0
HUBSPOT COMMISSION,2025-09-01,382.11,382.11,0.0,0.0,0.0,382.11,0.0,0.0,382.11,1.0,0.0,0.0,0.0,0.0
HUBSPOT COMMISSION,2025-11-01,34282.92,34282.92,0.0,0.0,0.0,34282.92,0.0,0.0,34282.92,1.0,0.0,0.0,0.0,0.0
MM COMMISSION,2024-11-01,284.38,284.38,0.0,0.0,0.0,284.38,0.0,0.0,284.38,1.0,0.0,0.0,0.0,0.0
MM COMMISSION,2024-12-01,248.33,248.33,0.0,0.0,0.0,248.33,0.0,0.0,248.33,1.0,0.0,0.0,0.0,0.0
MM COMMISSION,2025-01-01,90.4,90.4,0.0,0.0,0.0,90.4,0.0,0.0,90.4,1.0,0.0,0.0,0.0,0.0
MM COMMISSION,2025-02-01,89.26,89.26,0.0,0.0,0.0,89.26,0.0,0.0,89.26,1.0,0.0,0.0,0.0,0.0
MM COMMISSION,2025-03-01,191.67,191.67,0.0,0.0,0.0,191.67,0.0,0.0,191.67,1.0,0.0,0.0,0.0,0.0
MM COMMISSION,2025-04-01,354.8,354.8,0.0,0.0,0.0,354.8,0.0,0.0,354.8,1.0,0.0,0.0,0.0,0.0
MM COMMISSION,2025-05-01,89.54,89.54,0.0,0.0,0.0,89.54,0.0,0.0,89.54,1.0,0.0,0.0,0.0,0.0
MM COMMISSION,2025-07-01,432.87,432.87,0.0,0.0,0.0,432.87,0.0,0.0,432.87,1.0,0.0,0.0,0.0,0.0
SG01000,2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01000,2020-12-01,0.0,0.0,400.0,16.0,0.0,0.0,16.0,0.0,-400.0,0.0,0.0,25.0,1.0,0.0
SG01001,2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01002,2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01003,2015-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01004,2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01005,2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01006,2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01007,2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01008,2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01009,2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01010,2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01011,2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01012,2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01013,2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01014,2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG01015,2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
